NAME 50_9
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c 8.920000 -8.960000
2 c 14.440000 -0.680000
3 c -27.540000 3.040000
4 c -7.050000 -7.770000
5 c 5.730000 -9.170000
6 c 9.490000 -7.480000
7 c 1.140000 -6.680000
8 c -3.420000 -1.650000
9 c -6.100000 -8.710000
10 c 8.230000 0.140000
11 c 4.450000 -8.260000
12 c -21.950000 0.310000
13 c -14.890000 -7.980000
14 c 16.310000 -5.130000
15 c -4.700000 -4.330000
16 c -5.510000 -9.520000
17 c 5.950000 -0.470000
18 c 0.680000 -6.310000
19 c 0.960000 -8.770000
20 c 6.560000 -4.240000
21 c -15.380000 -3.160000
22 c -18.760000 -9.970000
23 c 2.380000 -3.710000
24 c -21.000000 -0.670000
25 c 19.010000 0.380000
26 c -2.130000 1.790000
27 c 8.390000 3.110000
28 c -23.070000 4.880000
29 c 3.410000 -0.820000
30 c -7.080000 0.930000
31 c 17.770000 -1.450000
32 c -27.490000 3.230000
33 c 7.380000 -5.050000
34 c -29.940000 0.910000
35 c -13.090000 -9.210000
36 c -23.830000 -0.150000
37 c 3.540000 -9.170000
38 c 2.260000 -9.230000
39 c 12.720000 -5.100000
40 c -25.540000 3.750000
41 c -5.140000 -6.440000
42 c 3.310000 -9.690000
43 c -7.920000 -3.870000
44 c -6.910000 -7.310000
45 c 9.020000 -8.740000
46 c 5.470000 -9.780000
47 c 7.860000 -8.260000
48 c 11.160000 -9.080000
49 c -3.530000 -6.300000
50 c -2.930000 -8.910000
51 f 0.000000 0.000000
EOF
