NAME 25_10
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c 6.920000 -7.550000
2 c 23.480000 -0.520000
3 c 2.370000 -9.090000
4 c -26.310000 -2.630000
5 c 20.170000 2.030000
6 c -19.760000 -6.340000
7 c -14.760000 -2.140000
8 c -11.180000 -2.910000
9 c -24.250000 0.810000
10 c -16.000000 -4.210000
11 c 16.020000 0.630000
12 c -11.010000 -4.120000
13 c 21.480000 3.880000
14 c 21.210000 2.110000
15 c -0.660000 -8.830000
16 c 7.980000 -3.150000
17 c -18.520000 -3.390000
18 c 5.250000 -8.290000
19 c -20.750000 -8.570000
20 c 11.180000 -9.440000
21 c -21.850000 -1.160000
22 c 0.050000 -5.310000
23 c 21.660000 -1.260000
24 c -26.130000 -7.180000
25 c -16.620000 -5.070000
26 f 0.000000 0.000000
EOF
