NAME 50_5
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c 12.740000 0.120000
2 c -14.440000 -4.710000
3 c 6.080000 -4.080000
4 c 19.040000 0.770000
5 c 26.760000 2.450000
6 c 7.690000 -6.040000
7 c 7.870000 -2.520000
8 c 4.400000 -9.010000
9 c -11.320000 -1.440000
10 c -17.810000 -0.520000
11 c 26.100000 -2.510000
12 c 14.830000 -4.260000
13 c -19.330000 -2.050000
14 c 25.450000 -1.790000
15 c -17.920000 -4.470000
16 c 12.420000 -5.170000
17 c -14.400000 -8.930000
18 c 29.440000 3.450000
19 c -18.050000 -4.830000
20 c 8.810000 3.150000
21 c 26.010000 0.260000
22 c 11.100000 -4.160000
23 c 19.590000 3.870000
24 c 19.060000 0.130000
25 c 27.600000 1.120000
26 c -18.390000 -3.180000
27 c 9.580000 -6.860000
28 c 28.630000 -6.380000
29 c -11.870000 2.390000
30 c 5.390000 -2.610000
31 c -13.380000 2.100000
32 c 6.380000 -4.460000
33 c -13.770000 -7.530000
34 c 9.760000 -1.950000
35 c -13.450000 -6.230000
36 c -15.380000 0.630000
37 c 5.510000 0.270000
38 c 14.470000 2.230000
39 c 14.320000 4.290000
40 c 21.670000 1.200000
41 c -8.190000 -3.130000
42 c 13.730000 -2.810000
43 c 4.130000 -0.490000
44 c 28.700000 -4.960000
45 c -19.070000 3.200000
46 c 12.040000 -5.010000
47 c -19.720000 1.040000
48 c 1.460000 -6.810000
49 c 3.360000 -8.620000
50 c 10.860000 -4.910000
51 f 0.000000 0.000000
EOF
