NAME 25_8
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c 14.550000 -4.350000
2 c 20.440000 -7.570000
3 c -10.870000 -5.370000
4 c -9.250000 -0.110000
5 c 26.970000 3.260000
6 c -6.050000 -1.320000
7 c 20.990000 0.690000
8 c -13.690000 -5.190000
9 c -12.980000 -3.650000
10 c 29.550000 4.030000
11 c 20.090000 -2.440000
12 c 26.680000 6.820000
13 c -5.310000 -0.670000
14 c -13.160000 -8.900000
15 c 26.190000 -0.700000
16 c 14.960000 -0.010000
17 c 17.790000 -2.700000
18 c 22.310000 -1.740000
19 c 21.430000 -6.650000
20 c 22.260000 4.950000
21 c 17.390000 -2.010000
22 c -2.500000 -2.670000
23 c 17.560000 -6.420000
24 c -11.440000 1.480000
25 c -13.180000 1.220000
26 f 0.000000 0.000000
EOF
