NAME 50_6
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c 12.280000 -8.270000
2 c -11.710000 0.820000
3 c -3.630000 -6.690000
4 c -17.540000 -1.930000
5 c -0.090000 -8.050000
6 c 8.230000 -2.340000
7 c -8.510000 -8.630000
8 c 13.780000 -6.330000
9 c -5.320000 -4.870000
10 c 12.850000 0.790000
11 c -28.280000 -3.390000
12 c -19.420000 -2.780000
13 c -4.320000 -4.760000
14 c -14.830000 -2.660000
15 c 0.820000 -4.600000
16 c -27.130000 -3.720000
17 c -3.530000 -4.980000
18 c -2.850000 -9.680000
19 c -27.420000 1.110000
20 c -18.480000 -4.860000
21 c 8.980000 -7.390000
22 c -27.730000 -7.260000
23 c 16.640000 -3.610000
24 c 3.440000 -2.540000
25 c -11.520000 -5.530000
26 c 6.550000 1.870000
27 c -4.710000 -8.230000
28 c -14.810000 -2.470000
29 c 10.930000 -7.620000
30 c -22.220000 -0.990000
31 c -22.030000 -5.430000
32 c -2.790000 -3.080000
33 c 5.250000 -4.760000
34 c 14.370000 1.800000
35 c 13.510000 3.410000
36 c 15.040000 -9.880000
37 c -4.680000 -2.890000
38 c -13.020000 -9.690000
39 c 11.190000 -5.330000
40 c -12.360000 -0.940000
41 c -7.700000 1.560000
42 c -8.610000 -1.500000
43 c 1.990000 -9.150000
44 c -7.280000 -9.250000
45 c -18.790000 2.850000
46 c 14.770000 2.710000
47 c -6.470000 -0.950000
48 c 15.230000 -6.250000
49 c -6.770000 -4.340000
50 c 2.520000 -3.820000
51 f 0.000000 0.000000
EOF
