NAME 25_6
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c 12.280000 -8.270000
2 c -11.710000 0.820000
3 c -3.630000 -6.690000
4 c -17.540000 -1.930000
5 c -0.090000 -8.050000
6 c 8.230000 -2.340000
7 c -8.510000 -8.630000
8 c 13.780000 -6.330000
9 c -5.320000 -4.870000
10 c -19.420000 -2.780000
11 c -4.320000 -4.760000
12 c -14.830000 -2.660000
13 c 0.820000 -4.600000
14 c -3.530000 -4.980000
15 c -18.480000 -4.860000
16 c 8.980000 -7.390000
17 c 3.440000 -2.540000
18 c -11.520000 -5.530000
19 c 6.550000 1.870000
20 c 10.930000 -7.620000
21 c 5.250000 -4.760000
22 c -13.020000 -9.690000
23 c -12.360000 -0.940000
24 c -7.700000 1.560000
25 c -8.610000 -1.500000
26 f 0.000000 0.000000
EOF
