NAME 25_4
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c 26.530000 -0.900000
2 c -25.240000 2.420000
3 c -11.480000 -3.980000
4 c -2.010000 -7.780000
5 c 11.300000 -8.940000
6 c 4.120000 -0.580000
7 c 3.900000 0.020000
8 c -14.150000 -3.500000
9 c -8.160000 -5.850000
10 c -3.150000 -7.420000
11 c -4.060000 -6.100000
12 c -6.600000 -9.320000
13 c 25.430000 1.920000
14 c 23.020000 -3.240000
15 c 27.920000 0.590000
16 c 2.150000 -3.570000
17 c 6.790000 -0.420000
18 c -11.170000 -3.070000
19 c -23.180000 4.000000
20 c -23.750000 4.130000
21 c -29.500000 1.530000
22 c 8.080000 -3.600000
23 c 0.700000 1.860000
24 c 10.800000 -9.320000
25 c 9.180000 -6.410000
26 f 0.000000 0.000000
EOF
