NAME 25_1
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c -18.260000 -5.360000
2 c 6.860000 -5.600000
3 c -4.940000 -2.850000
4 c 19.460000 1.230000
5 c -25.290000 -3.110000
6 c -11.750000 -3.250000
7 c 21.830000 -0.870000
8 c -9.050000 0.720000
9 c 16.530000 2.020000
10 c 21.440000 -2.500000
11 c -6.750000 -7.270000
12 c -21.600000 -4.940000
13 c 10.600000 -8.200000
14 c -0.450000 -2.070000
15 c -23.620000 -6.830000
16 c -9.660000 -4.580000
17 c -5.700000 -2.870000
18 c 15.220000 2.010000
19 c -17.510000 -3.030000
20 c -16.040000 -6.660000
21 c -24.260000 -4.220000
22 c 4.250000 -1.490000
23 c 4.080000 -4.960000
24 c -10.950000 -8.010000
25 c 23.610000 2.030000
26 f 0.000000 0.000000
EOF
