NAME 25_3
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c 25.610000 2.330000
2 c 28.040000 -0.270000
3 c -10.970000 -2.470000
4 c 15.000000 -3.950000
5 c -23.930000 -5.530000
6 c 29.740000 0.930000
7 c 9.700000 -4.530000
8 c -25.280000 -6.170000
9 c -14.350000 0.040000
10 c 23.130000 1.080000
11 c 29.280000 4.810000
12 c -19.690000 -4.550000
13 c 6.290000 -7.700000
14 c -11.590000 -2.510000
15 c -22.590000 -4.820000
16 c 23.270000 1.830000
17 c 28.720000 -1.830000
18 c -13.330000 -1.900000
19 c 24.840000 2.480000
20 c 11.940000 -8.610000
21 c 16.910000 -1.720000
22 c 19.740000 -5.470000
23 c 10.080000 -9.250000
24 c 15.180000 -6.850000
25 c 29.520000 -3.840000
26 f 0.000000 0.000000
EOF
