NAME 25_7
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c -7.640000 -3.600000
2 c 8.530000 0.400000
3 c -11.120000 0.680000
4 c -18.880000 -1.210000
5 c -3.450000 -7.730000
6 c 21.860000 -0.740000
7 c 4.970000 -9.440000
8 c 10.390000 -2.150000
9 c -11.420000 -3.270000
10 c 23.680000 -1.200000
11 c -5.480000 -3.010000
12 c -4.640000 -1.810000
13 c -22.100000 0.220000
14 c -10.160000 2.530000
15 c -8.780000 5.020000
16 c -7.620000 -9.250000
17 c -12.440000 0.230000
18 c -21.140000 -4.580000
19 c 23.460000 -4.050000
20 c 19.490000 1.820000
21 c -5.120000 -6.820000
22 c -17.770000 -3.800000
23 c 10.320000 2.920000
24 c -5.540000 -5.950000
25 c 5.220000 3.140000
26 f 0.000000 0.000000
EOF
