NAME 100_6
N_CUSTOMERS 100
N_STATIONS 1
N_VEHICLES 30
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 8
NODES
0 d 0.000000 80.000000
1 c 26.750000 3.460000
2 c -26.150000 2.860000
3 c 2.920000 -5.990000
4 c 2.380000 -8.820000
5 c 4.300000 -5.550000
6 c -19.040000 -2.930000
7 c 14.290000 -1.920000
8 c -13.770000 -3.460000
9 c 4.850000 -0.310000
10 c 19.960000 -6.560000
11 c -9.350000 0.520000
12 c 21.430000 -3.410000
13 c 3.130000 -2.290000
14 c 13.270000 -5.460000
15 c 18.880000 2.210000
16 c 13.800000 -4.270000
17 c 9.780000 -1.370000
18 c -16.820000 -3.720000
19 c -5.930000 -1.220000
20 c -20.930000 -2.590000
21 c -10.250000 -0.740000
22 c 24.340000 2.000000
23 c -26.520000 1.220000
24 c -5.140000 -1.860000
25 c -0.500000 -4.570000
26 c 9.690000 -6.500000
27 c -14.970000 -1.950000
28 c 17.240000 2.450000
29 c -21.860000 -3.370000
30 c 25.440000 -5.620000
31 c -11.420000 -3.560000
32 c 26.020000 7.540000
33 c -9.000000 -1.750000
34 c -15.570000 -7.350000
35 c -24.110000 3.490000
36 c 6.500000 -4.830000
37 c -13.060000 -5.150000
38 c 18.640000 -3.820000
39 c 2.240000 -5.250000
40 c 16.210000 -2.760000
41 c 17.070000 -9.470000
42 c 22.510000 1.230000
43 c -27.710000 -1.660000
44 c 13.380000 -2.800000
45 c 28.590000 3.190000
46 c 5.080000 4.050000
47 c -18.680000 -3.530000
48 c -28.600000 -3.170000
49 c -24.700000 7.170000
50 c 17.810000 5.320000
51 c 15.080000 5.450000
52 c 22.350000 3.210000
53 c 15.710000 -9.290000
54 c -28.050000 2.800000
55 c 8.500000 -3.520000
56 c -2.640000 -5.780000
57 c 13.200000 -6.560000
58 c -7.900000 4.560000
59 c 14.940000 -4.430000
60 c -29.110000 -0.400000
61 c 26.650000 6.920000
62 c -9.490000 2.730000
63 c 11.700000 -3.800000
64 c -10.620000 4.410000
65 c 21.400000 -9.050000
66 c -19.790000 -5.750000
67 c 15.680000 -5.550000
68 c 3.750000 -5.050000
69 c 17.680000 -5.030000
70 c 4.540000 -2.930000
71 c 0.760000 -5.070000
72 c -6.110000 -1.180000
73 c 2.010000 1.030000
74 c 22.160000 -1.750000
75 c 23.880000 2.590000
76 c 10.010000 -2.740000
77 c -9.040000 -1.810000
78 c -21.940000 1.170000
79 c -8.410000 -3.380000
80 c 10.730000 -0.170000
81 c 6.290000 -2.640000
82 c -15.030000 -6.820000
83 c -0.480000 0.250000
84 c 4.280000 -3.320000
85 c -17.120000 -7.770000
86 c 6.720000 -7.230000
87 c -17.570000 -0.940000
88 c -21.490000 2.000000
89 c 13.780000 2.440000
90 c 1.070000 -7.890000
91 c 2.880000 -4.250000
92 c 2.120000 -4.890000
93 c -4.650000 0.710000
94 c 5.700000 -9.000000
95 c -4.100000 -3.240000
96 c -1.500000 -8.550000
97 c -3.010000 -4.890000
98 c -5.560000 -5.940000
99 c -4.040000 -0.590000
100 c -5.640000 0.910000
101 f 0.000000 0.000000
EOF
