NAME 50_7
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c -7.640000 -3.600000
2 c 8.530000 0.400000
3 c -11.120000 0.680000
4 c -18.880000 -1.210000
5 c -3.450000 -7.730000
6 c 21.860000 -0.740000
7 c 4.970000 -9.440000
8 c -26.990000 2.070000
9 c 28.720000 1.630000
10 c 10.390000 -2.150000
11 c -11.420000 -3.270000
12 c 23.680000 -1.200000
13 c -5.480000 -3.010000
14 c -4.640000 -1.810000
15 c -28.080000 6.620000
16 c -22.100000 0.220000
17 c -10.160000 2.530000
18 c -8.780000 5.020000
19 c -7.620000 -9.250000
20 c -12.440000 0.230000
21 c -24.600000 5.640000
22 c -21.140000 -4.580000
23 c 23.460000 -4.050000
24 c 19.490000 1.820000
25 c -5.120000 -6.820000
26 c -17.770000 -3.800000
27 c 28.260000 5.840000
28 c 10.320000 2.920000
29 c 22.310000 -0.780000
30 c 27.490000 5.390000
31 c -5.540000 -5.950000
32 c 5.220000 3.140000
33 c -7.570000 -0.580000
34 c -7.410000 -0.790000
35 c 27.710000 -1.000000
36 c 11.100000 -0.870000
37 c 4.750000 3.400000
38 c 23.370000 -5.480000
39 c -27.660000 6.480000
40 c -10.190000 -6.230000
41 c 6.070000 -6.970000
42 c 3.950000 -8.310000
43 c -10.210000 -2.270000
44 c 26.610000 -4.140000
45 c 21.810000 1.030000
46 c -1.920000 -0.440000
47 c 6.200000 -6.580000
48 c 7.920000 -2.860000
49 c 9.220000 -5.160000
50 c -14.920000 -6.090000
51 f 0.000000 0.000000
EOF
