NAME 100_8
N_CUSTOMERS 100
N_STATIONS 1
N_VEHICLES 30
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 8
NODES
0 d 0.000000 80.000000
1 c 1.340000 -1.990000
2 c 3.830000 -7.360000
3 c -2.160000 -0.090000
4 c -27.950000 0.810000
5 c -3.770000 -2.590000
6 c -9.130000 -3.890000
7 c -22.010000 -5.640000
8 c 26.850000 -2.070000
9 c 16.610000 -3.120000
10 c 15.710000 -7.700000
11 c -22.720000 -3.210000
12 c 18.430000 -7.460000
13 c 19.010000 -7.210000
14 c 22.180000 -3.250000
15 c 11.160000 -1.540000
16 c 0.910000 -0.870000
17 c -22.450000 -3.380000
18 c 21.650000 -5.510000
19 c -8.830000 -7.980000
20 c 11.460000 -0.230000
21 c 2.830000 -2.460000
22 c -18.370000 -6.290000
23 c -7.010000 -2.110000
24 c -5.910000 -8.590000
25 c 6.580000 -8.990000
26 c -1.150000 -7.720000
27 c 15.580000 -5.920000
28 c 3.500000 -8.870000
29 c 26.010000 -4.300000
30 c 9.030000 2.950000
31 c -4.530000 -4.200000
32 c 13.490000 -4.510000
33 c 3.210000 1.030000
34 c -10.210000 -6.260000
35 c -8.260000 -9.630000
36 c 19.490000 -2.060000
37 c -23.000000 -3.320000
38 c 2.270000 -4.190000
39 c 4.300000 1.900000
40 c 27.270000 1.370000
41 c 5.720000 1.070000
42 c -3.980000 -4.560000
43 c 21.270000 -7.630000
44 c 2.770000 -1.970000
45 c -18.100000 -3.990000
46 c 7.160000 -2.210000
47 c 16.150000 -2.880000
48 c -5.890000 -0.330000
49 c 21.700000 0.030000
50 c 13.030000 -4.170000
51 c -11.390000 -0.520000
52 c 29.790000 -2.280000
53 c -29.510000 3.130000
54 c 4.590000 1.750000
55 c 15.960000 -7.840000
56 c -2.940000 -9.060000
57 c -2.500000 -9.250000
58 c -25.270000 3.780000
59 c -25.080000 -8.020000
60 c 21.000000 -5.500000
61 c 19.070000 -8.810000
62 c -26.390000 2.380000
63 c -1.580000 -1.800000
64 c -6.630000 -5.350000
65 c 5.200000 -8.530000
66 c 8.520000 -5.290000
67 c -2.220000 0.120000
68 c -18.320000 -7.250000
69 c 24.440000 -6.330000
70 c -8.850000 -8.970000
71 c -21.540000 -1.100000
72 c 7.820000 -6.610000
73 c -2.530000 -5.660000
74 c 23.150000 -0.410000
75 c -0.090000 -2.970000
76 c -6.630000 -1.400000
77 c 16.820000 0.310000
78 c -21.010000 -8.320000
79 c -0.020000 -9.150000
80 c -19.340000 -1.360000
81 c -16.690000 -5.170000
82 c -3.960000 1.480000
83 c -26.710000 -6.240000
84 c 9.950000 2.880000
85 c 13.970000 -6.390000
86 c 3.450000 -6.410000
87 c 11.880000 -5.670000
88 c -9.390000 -3.790000
89 c 7.940000 1.880000
90 c -0.350000 -4.050000
91 c 21.970000 -9.980000
92 c -24.310000 -0.150000
93 c -8.000000 -1.190000
94 c -0.370000 -2.010000
95 c 17.330000 -6.290000
96 c 18.790000 -5.460000
97 c -22.710000 -3.910000
98 c -21.470000 -4.310000
99 c 20.260000 -7.150000
100 c 17.340000 -7.640000
101 f 0.000000 0.000000
EOF
