NAME 50_1
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c -18.260000 -5.360000
2 c 6.860000 -5.600000
3 c -4.940000 -2.850000
4 c 19.460000 1.230000
5 c -25.290000 -3.110000
6 c -11.750000 -3.250000
7 c 21.830000 -0.870000
8 c 20.410000 -6.240000
9 c -7.950000 -8.390000
10 c 14.010000 -8.820000
11 c -27.320000 1.470000
12 c 21.440000 -2.500000
13 c -6.750000 -7.270000
14 c -21.600000 -4.940000
15 c 10.600000 -8.200000
16 c 18.100000 -8.370000
17 c 14.330000 -8.880000
18 c -0.450000 -2.070000
19 c -23.620000 -6.830000
20 c -9.660000 -4.580000
21 c -5.700000 -2.870000
22 c 15.220000 2.010000
23 c -17.510000 -3.030000
24 c -16.040000 -6.660000
25 c -24.260000 -4.220000
26 c 4.250000 -1.490000
27 c 4.080000 -4.960000
28 c 8.030000 -4.090000
29 c -4.600000 -6.620000
30 c -3.470000 -4.760000
31 c -10.950000 -8.010000
32 c 23.610000 2.030000
33 c -24.920000 2.920000
34 c -12.850000 1.270000
35 c 18.450000 -0.680000
36 c -28.270000 -4.100000
37 c 24.950000 -3.910000
38 c -8.690000 -8.370000
39 c -13.800000 -3.370000
40 c 23.040000 0.030000
41 c 12.940000 -7.270000
42 c 22.350000 -1.730000
43 c 18.630000 1.340000
44 c -6.350000 -6.000000
45 c -8.310000 -9.170000
46 c -23.790000 0.320000
47 c 18.410000 -4.020000
48 c 19.170000 -8.920000
49 c -23.990000 0.920000
50 c 20.930000 -3.620000
51 f 0.000000 0.000000
EOF
