NAME 100_10
N_CUSTOMERS 100
N_STATIONS 1
N_VEHICLES 30
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 8
NODES
0 d 0.000000 80.000000
1 c -24.540000 2.770000
2 c -6.620000 -6.190000
3 c 3.460000 -2.810000
4 c 26.280000 -4.200000
5 c -10.950000 -3.660000
6 c -12.390000 -8.680000
7 c 2.090000 -2.260000
8 c 3.820000 -7.480000
9 c 14.330000 -1.090000
10 c 20.190000 0.590000
11 c 9.740000 -6.080000
12 c 4.250000 -8.190000
13 c -0.540000 -3.360000
14 c 27.440000 0.450000
15 c 15.900000 -3.520000
16 c 10.440000 -1.070000
17 c -5.490000 -9.010000
18 c -19.330000 1.180000
19 c 11.680000 -2.330000
20 c 16.590000 -7.460000
21 c 26.830000 2.140000
22 c 10.620000 -0.840000
23 c 7.590000 -3.090000
24 c 2.160000 -7.210000
25 c 2.460000 -1.940000
26 c 14.130000 2.640000
27 c 11.000000 -5.140000
28 c -17.770000 1.420000
29 c 12.280000 -3.570000
30 c 11.040000 -4.010000
31 c -8.950000 -5.460000
32 c 20.710000 2.560000
33 c 13.330000 -5.280000
34 c 7.940000 -3.880000
35 c -28.000000 3.250000
36 c 19.200000 -1.500000
37 c 8.500000 3.400000
38 c 12.400000 -7.020000
39 c -24.020000 -1.350000
40 c -8.860000 -4.000000
41 c -12.360000 -5.120000
42 c 23.560000 -1.310000
43 c 4.290000 -3.440000
44 c -1.360000 -9.360000
45 c 7.690000 -7.000000
46 c -5.120000 -2.610000
47 c 14.750000 0.080000
48 c -16.600000 4.150000
49 c 29.110000 -0.390000
50 c 25.100000 -1.130000
51 c 3.850000 -8.170000
52 c 23.870000 4.260000
53 c 6.130000 -3.140000
54 c -10.020000 -5.060000
55 c 23.630000 -4.930000
56 c -2.050000 0.600000
57 c -19.140000 0.430000
58 c 1.510000 -3.250000
59 c -6.290000 -2.880000
60 c 15.220000 -0.240000
61 c -0.920000 -1.350000
62 c 8.550000 3.690000
63 c 26.450000 2.770000
64 c 2.220000 -2.460000
65 c -10.710000 -8.500000
66 c 29.320000 0.070000
67 c 25.170000 -5.470000
68 c 6.860000 1.080000
69 c -9.520000 -8.710000
70 c 27.020000 -8.890000
71 c -14.850000 -8.490000
72 c -24.410000 5.190000
73 c 4.680000 -5.690000
74 c -0.890000 -5.730000
75 c 5.940000 -9.680000
76 c 27.680000 6.460000
77 c 3.530000 -9.130000
78 c 16.020000 -3.990000
79 c 3.920000 -7.620000
80 c 0.440000 -1.450000
81 c 4.720000 1.390000
82 c 20.730000 -8.830000
83 c 13.320000 -7.380000
84 c 3.640000 1.240000
85 c 12.990000 -2.270000
86 c 5.510000 -5.240000
87 c 8.410000 -3.450000
88 c 10.550000 -0.090000
89 c 18.420000 -8.420000
90 c 2.040000 -1.200000
91 c 3.830000 -1.840000
92 c -4.600000 -8.000000
93 c 4.990000 -3.440000
94 c -5.620000 -8.260000
95 c 18.640000 -3.660000
96 c 8.240000 0.740000
97 c -5.210000 -9.550000
98 c 2.890000 -5.400000
99 c 0.690000 -6.870000
100 c 10.870000 -1.780000
101 f 0.000000 0.000000
EOF
