NAME 50_10
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c 25.390000 1.360000
2 c -1.850000 -0.830000
3 c -23.260000 -6.260000
4 c 21.290000 -0.770000
5 c 16.030000 -3.160000
6 c -10.480000 -6.500000
7 c -4.340000 -2.240000
8 c 9.300000 -5.610000
9 c -25.630000 2.400000
10 c 4.790000 -0.510000
11 c 3.690000 -4.600000
12 c 15.140000 -1.550000
13 c -14.840000 -2.360000
14 c 12.270000 -8.030000
15 c -24.530000 7.210000
16 c 5.400000 -1.580000
17 c -17.310000 -4.340000
18 c 21.470000 -0.440000
19 c 9.880000 -0.840000
20 c 20.680000 -5.210000
21 c -6.210000 -0.210000
22 c -13.010000 -9.030000
23 c 9.740000 0.150000
24 c 9.640000 -0.600000
25 c 15.520000 0.140000
26 c 24.370000 1.130000
27 c -28.470000 2.980000
28 c 18.360000 -5.780000
29 c 28.520000 3.980000
30 c 14.450000 1.310000
31 c 14.920000 -1.890000
32 c -19.560000 -6.400000
33 c -26.380000 -2.740000
34 c -25.800000 -8.950000
35 c 24.150000 -4.140000
36 c 25.570000 -2.010000
37 c 5.740000 -4.890000
38 c -15.740000 -1.170000
39 c -17.150000 1.550000
40 c -10.640000 -9.480000
41 c -26.660000 3.610000
42 c -6.590000 -5.750000
43 c -2.100000 -0.630000
44 c -2.730000 -1.160000
45 c 0.500000 0.230000
46 c 2.630000 -7.130000
47 c 17.270000 -5.270000
48 c -4.950000 -4.990000
49 c -1.720000 -6.420000
50 c 10.040000 -6.560000
51 f 0.000000 0.000000
EOF
