NAME 50_3
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c 8.080000 0.020000
2 c 12.430000 0.030000
3 c 29.550000 -0.770000
4 c 9.710000 -7.070000
5 c 9.670000 0.240000
6 c -2.030000 -0.660000
7 c -7.680000 -0.290000
8 c -28.030000 -3.360000
9 c -29.620000 4.120000
10 c -19.040000 0.210000
11 c 1.880000 -8.540000
12 c 2.550000 -3.940000
13 c -18.460000 -7.810000
14 c -25.060000 2.600000
15 c -21.780000 1.850000
16 c 10.860000 -3.860000
17 c 8.590000 3.500000
18 c -23.260000 -3.700000
19 c -18.760000 -6.840000
20 c 3.310000 -2.320000
21 c -18.230000 -5.610000
22 c -7.110000 -0.480000
23 c 8.250000 -0.890000
24 c -27.930000 -0.640000
25 c -1.780000 -6.280000
26 c 28.380000 -5.540000
27 c -8.820000 2.980000
28 c 8.880000 -5.400000
29 c -11.670000 -2.370000
30 c -2.450000 -9.610000
31 c -16.860000 4.230000
32 c 5.430000 -7.140000
33 c -24.300000 -1.210000
34 c 25.260000 -1.600000
35 c -25.280000 3.860000
36 c 13.320000 -3.070000
37 c 10.690000 2.500000
38 c -14.040000 -6.640000
39 c -27.960000 3.090000
40 c -20.730000 -2.500000
41 c 11.720000 -4.230000
42 c -0.130000 -5.610000
43 c -1.670000 -5.550000
44 c 28.980000 2.550000
45 c 12.670000 -2.800000
46 c -0.650000 2.090000
47 c 17.050000 -0.700000
48 c 3.480000 1.660000
49 c 6.010000 0.630000
50 c -1.600000 -1.500000
51 f 0.000000 0.000000
EOF
