NAME 100_5
N_CUSTOMERS 100
N_STATIONS 1
N_VEHICLES 30
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 8
NODES
0 d 0.000000 80.000000
1 c 24.940000 2.800000
2 c 11.050000 -0.220000
3 c -14.610000 -3.350000
4 c -24.380000 1.420000
5 c 21.930000 -0.700000
6 c 7.200000 -3.170000
7 c -14.570000 -0.880000
8 c -4.640000 -2.870000
9 c -25.340000 -2.150000
10 c -7.220000 -6.860000
11 c 0.200000 -4.670000
12 c 15.780000 -5.560000
13 c -14.920000 -8.150000
14 c -10.910000 -0.690000
15 c 12.860000 -0.560000
16 c 11.360000 -4.290000
17 c -11.870000 -4.150000
18 c -23.630000 1.020000
19 c -26.200000 2.580000
20 c 13.760000 -0.220000
21 c -25.590000 -3.040000
22 c 7.090000 -6.380000
23 c -18.610000 0.070000
24 c 20.260000 -5.410000
25 c -17.570000 -2.830000
26 c 14.740000 -0.120000
27 c 16.520000 -9.970000
28 c -8.020000 2.220000
29 c -19.400000 -9.740000
30 c 15.980000 -7.890000
31 c 22.620000 -3.010000
32 c 4.700000 -0.800000
33 c 25.820000 -0.080000
34 c 10.770000 -4.650000
35 c 17.820000 -0.690000
36 c 9.640000 -0.640000
37 c -26.060000 -4.440000
38 c -23.490000 4.750000
39 c -4.480000 -2.270000
40 c 5.350000 1.270000
41 c -11.390000 -1.930000
42 c 19.310000 -1.050000
43 c -17.580000 -7.820000
44 c 9.920000 -6.960000
45 c 2.640000 -7.110000
46 c 18.720000 -4.580000
47 c 27.210000 5.760000
48 c -14.090000 -8.290000
49 c 23.910000 5.890000
50 c 21.140000 -8.950000
51 c -14.330000 -0.550000
52 c -0.630000 -1.870000
53 c -16.760000 -1.480000
54 c -28.600000 -1.020000
55 c -9.760000 -7.030000
56 c -12.030000 3.860000
57 c -27.400000 -4.280000
58 c -26.960000 -2.730000
59 c 15.530000 3.680000
60 c 4.940000 -3.000000
61 c 15.670000 -4.890000
62 c 23.580000 -6.900000
63 c 2.270000 -7.990000
64 c -18.730000 3.520000
65 c -15.070000 -5.170000
66 c -17.660000 -0.420000
67 c -6.550000 -6.960000
68 c -10.360000 -8.920000
69 c -24.580000 6.530000
70 c -15.610000 3.860000
71 c -15.730000 2.010000
72 c -9.060000 -3.680000
73 c -12.010000 -2.920000
74 c -4.140000 -1.040000
75 c -13.930000 -2.900000
76 c 10.800000 -5.860000
77 c 9.550000 -1.290000
78 c -13.550000 -3.240000
79 c 11.330000 0.890000
80 c -26.410000 -2.050000
81 c 12.490000 -2.440000
82 c -24.670000 6.790000
83 c -21.840000 -3.160000
84 c 5.300000 -9.020000
85 c 11.710000 -2.860000
86 c 5.100000 -7.760000
87 c -28.430000 3.250000
88 c 18.800000 0.120000
89 c -25.420000 0.630000
90 c -5.720000 -2.490000
91 c -14.760000 2.600000
92 c -21.490000 4.150000
93 c -25.700000 1.240000
94 c -16.980000 -4.520000
95 c 12.160000 -1.210000
96 c -20.320000 -6.230000
97 c 12.530000 -1.650000
98 c -13.350000 -5.060000
99 c -22.860000 0.860000
100 c -22.120000 0.960000
101 f 0.000000 0.000000
EOF
