NAME 100_1
N_CUSTOMERS 100
N_STATIONS 1
N_VEHICLES 30
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 8
NODES
0 d 0.000000 80.000000
1 c -18.260000 -5.360000
2 c 6.860000 -5.600000
3 c -4.940000 -2.850000
4 c 19.460000 1.230000
5 c -25.290000 -3.110000
6 c -11.750000 -3.250000
7 c 21.830000 -0.870000
8 c 20.410000 -6.240000
9 c -7.950000 -8.390000
10 c 14.010000 -8.820000
11 c -27.320000 1.470000
12 c 21.440000 -2.500000
13 c -6.750000 -7.270000
14 c -21.600000 -4.940000
15 c 10.600000 -8.200000
16 c -0.450000 -2.070000
17 c -23.620000 -6.830000
18 c -9.660000 -4.580000
19 c -5.700000 -2.870000
20 c -14.110000 -8.350000
21 c -0.040000 -5.950000
22 c -17.510000 -3.030000
23 c -16.040000 -6.660000
24 c -24.260000 -4.220000
25 c 4.250000 -1.490000
26 c -15.970000 -9.880000
27 c 4.080000 -4.960000
28 c -15.490000 1.510000
29 c 8.030000 -4.090000
30 c 5.090000 -7.560000
31 c -4.600000 -6.620000
32 c -3.470000 -4.760000
33 c -10.950000 -8.010000
34 c 23.610000 2.030000
35 c 3.280000 -6.410000
36 c -4.100000 -0.910000
37 c -24.920000 2.920000
38 c -12.850000 1.270000
39 c 18.450000 -0.680000
40 c -28.270000 -4.100000
41 c 24.950000 -3.910000
42 c -8.690000 -8.370000
43 c -13.690000 -9.410000
44 c -3.740000 -1.890000
45 c -13.800000 -3.370000
46 c -2.260000 -1.090000
47 c 23.040000 0.030000
48 c -18.530000 -0.520000
49 c -16.430000 1.170000
50 c -29.290000 -4.630000
51 c 12.940000 -7.270000
52 c -26.730000 -8.660000
53 c -21.450000 -6.090000
54 c -21.800000 -6.600000
55 c -18.590000 -6.620000
56 c 22.350000 -1.730000
57 c 6.050000 1.090000
58 c 13.570000 -7.500000
59 c -8.700000 -4.030000
60 c 18.630000 1.340000
61 c -26.600000 -6.220000
62 c 2.110000 -0.350000
63 c -9.050000 -1.100000
64 c -26.500000 -2.030000
65 c -6.350000 -6.000000
66 c -6.370000 -1.120000
67 c 1.010000 -1.870000
68 c 17.860000 2.000000
69 c -8.310000 -9.170000
70 c 12.780000 -8.060000
71 c -23.790000 0.320000
72 c 18.410000 -4.020000
73 c -0.790000 -7.230000
74 c 19.170000 -8.920000
75 c 10.990000 -9.080000
76 c -23.990000 0.920000
77 c -26.980000 -9.520000
78 c 5.310000 -0.710000
79 c 20.930000 -3.620000
80 c -15.250000 -4.660000
81 c -9.610000 -2.820000
82 c -6.090000 -3.400000
83 c -2.480000 -2.730000
84 c -5.290000 -7.870000
85 c -16.340000 -6.060000
86 c 24.170000 -7.940000
87 c 9.570000 -6.390000
88 c 2.030000 -4.010000
89 c -15.730000 -4.660000
90 c -5.860000 -0.850000
91 c -15.220000 -9.150000
92 c -18.610000 -7.280000
93 c 8.440000 -9.800000
94 c 18.420000 -3.640000
95 c -23.740000 -5.380000
96 c -23.420000 -2.970000
97 c -19.960000 -3.820000
98 c -19.650000 -8.570000
99 c -10.410000 -5.510000
100 c -24.520000 -4.670000
101 f 0.000000 0.000000
EOF
