NAME 100_3
N_CUSTOMERS 100
N_STATIONS 1
N_VEHICLES 30
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 8
NODES
0 d 0.000000 80.000000
1 c 0.620000 -8.740000
2 c 22.690000 -2.530000
3 c 13.900000 -8.620000
4 c -7.160000 -7.350000
5 c -8.790000 -5.040000
6 c 10.820000 -2.040000
7 c -8.500000 -3.430000
8 c 24.650000 -0.160000
9 c 27.460000 0.640000
10 c -16.900000 -7.240000
11 c -13.550000 -6.900000
12 c 4.340000 -0.150000
13 c -25.140000 -1.050000
14 c -0.690000 -8.890000
15 c 10.510000 -0.540000
16 c 2.920000 -3.500000
17 c 21.110000 -0.520000
18 c 13.090000 -2.430000
19 c 13.950000 -3.220000
20 c 23.890000 3.610000
21 c -12.640000 -5.110000
22 c -26.410000 1.740000
23 c -18.710000 -2.210000
24 c 26.360000 1.420000
25 c -20.840000 0.290000
26 c 26.840000 2.080000
27 c -0.520000 -6.180000
28 c -29.860000 3.740000
29 c 26.060000 7.230000
30 c -6.150000 -0.020000
31 c -22.580000 -0.330000
32 c 20.180000 -2.630000
33 c 25.660000 -0.410000
34 c 1.040000 3.320000
35 c -20.800000 -5.140000
36 c 9.000000 2.110000
37 c 28.210000 3.250000
38 c -14.410000 -2.950000
39 c -20.400000 -4.620000
40 c 0.430000 -8.990000
41 c 26.040000 -2.990000
42 c 10.780000 -2.510000
43 c 26.240000 -0.940000
44 c 3.680000 3.240000
45 c 11.660000 -4.160000
46 c -26.190000 -0.210000
47 c 7.060000 -0.430000
48 c 26.270000 3.300000
49 c -5.840000 -2.620000
50 c 5.490000 -6.830000
51 c 19.090000 -2.650000
52 c -24.980000 5.130000
53 c -1.780000 -2.750000
54 c 1.200000 -2.340000
55 c 15.910000 -5.570000
56 c 0.790000 -6.630000
57 c 14.080000 -3.270000
58 c -24.050000 2.650000
59 c -3.370000 -5.320000
60 c -5.060000 -8.480000
61 c 19.590000 -3.530000
62 c -26.060000 -0.080000
63 c 22.040000 6.890000
64 c 18.940000 1.850000
65 c 7.730000 2.040000
66 c 14.190000 -2.620000
67 c 17.310000 -8.770000
68 c -17.300000 2.580000
69 c 9.850000 1.770000
70 c 22.110000 6.220000
71 c -21.050000 0.040000
72 c -17.760000 -8.980000
73 c -6.620000 -9.770000
74 c -5.200000 -3.950000
75 c 22.860000 -5.440000
76 c -27.460000 -2.780000
77 c 29.160000 4.150000
78 c -19.960000 -1.280000
79 c -16.660000 -9.230000
80 c -20.980000 -9.320000
81 c 10.210000 -9.600000
82 c 23.030000 -1.100000
83 c 10.850000 -7.640000
84 c 7.750000 -5.730000
85 c -13.050000 -0.180000
86 c 7.950000 -3.910000
87 c 0.930000 -7.560000
88 c 28.940000 -0.770000
89 c -1.050000 -8.040000
90 c -12.950000 -6.770000
91 c -1.720000 -4.660000
92 c -11.840000 -3.440000
93 c -9.790000 -4.130000
94 c 15.770000 1.000000
95 c 28.260000 -0.580000
96 c -7.300000 -4.590000
97 c -14.630000 -5.490000
98 c -14.620000 -8.200000
99 c -6.290000 -4.790000
100 c 14.100000 0.150000
101 f 0.000000 0.000000
EOF
