NAME 25_5
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c 12.740000 0.120000
2 c -14.440000 -4.710000
3 c 6.080000 -4.080000
4 c 19.040000 0.770000
5 c 26.760000 2.450000
6 c 7.690000 -6.040000
7 c 7.870000 -2.520000
8 c 4.400000 -9.010000
9 c -11.320000 -1.440000
10 c 14.830000 -4.260000
11 c 25.450000 -1.790000
12 c -17.920000 -4.470000
13 c 12.420000 -5.170000
14 c -14.400000 -8.930000
15 c 29.440000 3.450000
16 c 8.810000 3.150000
17 c 26.010000 0.260000
18 c 11.100000 -4.160000
19 c 19.590000 3.870000
20 c 19.060000 0.130000
21 c 9.580000 -6.860000
22 c 5.390000 -2.610000
23 c 6.380000 -4.460000
24 c 9.760000 -1.950000
25 c 5.510000 0.270000
26 f 0.000000 0.000000
EOF
