NAME 50_2
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c -4.330000 -2.100000
2 c -0.870000 -6.640000
3 c -5.510000 -9.240000
4 c -14.910000 -8.030000
5 c 25.410000 -2.810000
6 c 9.710000 -7.180000
7 c 3.830000 -2.720000
8 c 10.030000 -3.910000
9 c 19.280000 -6.000000
10 c 11.920000 -2.310000
11 c 12.880000 -8.360000
12 c -5.810000 -1.750000
13 c -11.780000 -5.280000
14 c -5.630000 -7.810000
15 c -13.640000 -6.330000
16 c -17.620000 -5.160000
17 c 16.250000 -5.970000
18 c -9.800000 1.190000
19 c 2.570000 -7.580000
20 c -1.290000 -8.430000
21 c 15.210000 -3.840000
22 c -17.910000 -8.350000
23 c 27.520000 -2.410000
24 c 25.950000 -1.640000
25 c 29.810000 -1.790000
26 c 14.210000 -1.940000
27 c -9.760000 -3.700000
28 c 21.440000 -6.270000
29 c 5.030000 -8.490000
30 c -14.540000 -3.110000
31 c 14.010000 -4.690000
32 c 5.350000 -6.400000
33 c 15.720000 -9.820000
34 c -4.310000 -0.540000
35 c 15.840000 -7.840000
36 c 17.200000 -7.430000
37 c -5.530000 -4.710000
38 c 4.230000 -3.970000
39 c 2.450000 -5.310000
40 c -11.400000 -4.590000
41 c 10.460000 -4.110000
42 c -5.520000 -1.220000
43 c 7.870000 -6.000000
44 c -6.430000 -9.650000
45 c -7.290000 -9.840000
46 c 8.730000 -9.690000
47 c -3.420000 1.720000
48 c -8.600000 -2.680000
49 c 0.560000 -8.610000
50 c 8.370000 -4.210000
51 f 0.000000 0.000000
EOF
